[[6, 3], [11, 3], [28, 3], [31, 4], [48, 5], [58, 6], [67, 7], [72, 8], [82, 9], [92, 9]]
[[98, 8], [88, 7], [75, 7], [60, 6], [59, 6], [48, 5], [30, 3], [23, 2], [19, 1], [2, 0]]
[[95, 9], [88, 8], [79, 7], [65, 7], [52, 5], [48, 4], [32, 4], [21, 4], [13, 1], [8, 0]]
[[90, 8], [81, 7], [77, 6], [67, 6], [58, 6], [41, 3], [35, 2], [23, 2], [12, 1], [2, 1]]
[[5, 0], [11, 3], [22, 3], [37, 3], [41, 4], [51, 5], [61, 5], [71, 6], [87, 8], [98, 8]]
[[0, 0], [15, 0], [24, 1], [39, 1], [48, 2], [51, 2], [65, 6], [76, 7], [87, 8], [98, 8]]
[[5, 0], [18, 0], [29, 0], [39, 1], [47, 2], [59, 5], [64, 5], [70, 6], [88, 7], [96, 8]]
[[6, 0], [14, 0], [22, 1], [36, 2], [48, 2], [53, 3], [65, 5], [70, 6], [86, 7], [99, 8]]
[[3, 1], [14, 2], [28, 5], [35, 6], [40, 6], [56, 7], [69, 7], [71, 8], [84, 8], [98, 9]]
[[8, 0], [17, 1], [20, 2], [36, 3], [45, 3], [50, 5], [67, 7], [72, 8], [84, 8], [95, 9]]
[[8, 1], [10, 1], [25, 1], [39, 5], [42, 5], [53, 6], [66, 7], [72, 8], [80, 8], [91, 9]]
[[9, 0], [11, 0], [29, 1], [31, 2], [49, 5], [53, 6], [67, 7], [79, 9], [82, 9], [94, 9]]
[[0, 0], [12, 1], [27, 4], [32, 4], [43, 7], [54, 8], [69, 9], [70, 9], [89, 9], [96, 9]]
[[98, 8], [84, 7], [78, 6], [66, 6], [55, 5], [40, 3], [39, 2], [25, 1], [11, 0], [3, 0]]
[[95, 8], [84, 7], [76, 6], [66, 4], [50, 4], [47, 4], [39, 4], [26, 1], [17, 1], [6, 0]]
[[93, 8], [80, 8], [75, 8], [66, 6], [55, 5], [45, 3], [32, 3], [22, 1], [13, 1], [5, 0]]
[[99, 9], [88, 8], [74, 8], [64, 7], [50, 7], [41, 5], [33, 5], [29, 4], [19, 4], [0, 0]]
[[96, 9], [89, 9], [75, 5], [65, 4], [51, 4], [44, 4], [31, 4], [26, 3], [13, 1], [9, 0]]
[[94, 9], [89, 6], [75, 6], [66, 6], [57, 5], [45, 5], [39, 5], [23, 4], [11, 2], [7, 2]]
[[98, 9], [88, 8], [78, 7], [62, 7], [53, 6], [46, 5], [35, 4], [27, 4], [13, 3], [6, 0]]
[[90, 9], [87, 9], [76, 9], [62, 7], [59, 5], [44, 5], [34, 4], [21, 4], [11, 2], [8, 1]]
[[95, 6], [89, 4], [71, 4], [62, 4], [56, 3], [40, 2], [35, 2], [26, 1], [14, 0], [2, 0]]
[[96, 7], [80, 7], [72, 7], [65, 7], [50, 6], [45, 4], [30, 4], [29, 2], [13, 2], [4, 1]]
[[91, 9], [82, 9], [72, 7], [69, 6], [59, 5], [44, 4], [31, 3], [27, 2], [10, 1], [8, 0]]
[[94, 9], [81, 8], [70, 7], [61, 5], [57, 3], [45, 2], [34, 1], [26, 1], [15, 0], [0, 0]]
[[2, 1], [18, 2], [26, 3], [39, 3], [40, 3], [50, 4], [63, 6], [71, 7], [81, 8], [94, 8]]
[[8, 1], [11, 1], [22, 2], [38, 4], [46, 5], [55, 5], [63, 8], [78, 8], [82, 9], [96, 9]]
[[8, 0], [17, 1], [25, 2], [35, 3], [49, 3], [55, 4], [62, 5], [73, 8], [89, 9], [93, 9]]
[[4, 0], [17, 0], [25, 0], [35, 2], [48, 4], [57, 4], [68, 5], [75, 6], [81, 9], [95, 9]]
[[8, 1], [10, 2], [25, 4], [30, 4], [49, 5], [58, 5], [60, 6], [73, 7], [89, 8], [94, 8]]
[[5, 0], [13, 0], [20, 4], [36, 4], [49, 5], [50, 7], [69, 8], [78, 8], [81, 9], [99, 9]]
[[3, 0], [18, 1], [22, 1], [34, 1], [43, 2], [53, 3], [63, 3], [76, 7], [89, 8], [92, 9]]
[[5, 0], [13, 0], [24, 0], [35, 1], [45, 4], [57, 5], [68, 6], [76, 7], [84, 9], [99, 9]]
[[0, 0], [19, 1], [27, 2], [31, 2], [47, 3], [58, 5], [64, 5], [74, 5], [82, 5], [91, 6]]
[[8, 1], [17, 2], [27, 2], [31, 3], [49, 7], [57, 8], [68, 8], [72, 8], [82, 8], [99, 9]]
[[9, 0], [15, 0], [25, 2], [34, 2], [46, 2], [51, 5], [67, 7], [79, 7], [88, 8], [90, 9]]
[[5, 1], [11, 1], [22, 1], [31, 2], [47, 3], [57, 4], [68, 4], [76, 7], [80, 8], [92, 8]]
[[6, 0], [14, 2], [27, 3], [36, 3], [49, 4], [53, 6], [68, 7], [78, 8], [89, 9], [91, 9]]
[[5, 0], [16, 0], [25, 3], [32, 4], [48, 4], [56, 4], [66, 5], [70, 6], [89, 8], [97, 8]]
[[9, 1], [10, 2], [23, 2], [31, 2], [42, 2], [57, 3], [65, 3], [75, 6], [84, 8], [99, 8]]
[[1, 1], [19, 3], [29, 4], [30, 4], [47, 5], [57, 6], [63, 7], [75, 8], [89, 9], [98, 9]]
[[97, 6], [87, 6], [73, 5], [62, 4], [53, 2], [49, 2], [36, 1], [24, 1], [11, 0], [3, 0]]
[[97, 7], [80, 7], [72, 5], [68, 3], [58, 2], [47, 1], [35, 1], [23, 0], [14, 0], [8, 0]]
[[92, 9], [87, 7], [79, 7], [64, 7], [55, 6], [41, 5], [33, 4], [25, 4], [17, 3], [4, 1]]
[[93, 8], [87, 7], [77, 6], [68, 6], [52, 5], [47, 5], [38, 2], [24, 1], [12, 0], [8, 0]]
[[94, 9], [83, 8], [73, 7], [65, 4], [53, 4], [48, 4], [32, 3], [23, 2], [18, 1], [9, 0]]
[[92, 9], [83, 8], [78, 8], [67, 7], [57, 6], [45, 3], [33, 3], [24, 2], [13, 2], [0, 0]]
[[92, 9], [80, 9], [72, 6], [67, 5], [50, 5], [47, 2], [31, 0], [26, 0], [18, 0], [2, 0]]
[[94, 6], [83, 4], [71, 2], [63, 1], [53, 1], [48, 1], [33, 1], [21, 1], [16, 1], [4, 0]]
[[95, 9], [89, 8], [78, 4], [60, 3], [59, 3], [42, 2], [32, 1], [22, 0], [19, 0], [8, 0]]
[[95, 9], [82, 8], [75, 7], [63, 7], [59, 5], [45, 4], [30, 3], [25, 2], [17, 2], [1, 0]]
[[97, 9], [82, 8], [78, 8], [64, 7], [58, 5], [49, 4], [32, 3], [26, 3], [10, 1], [4, 0]]
[[95, 9], [83, 8], [79, 7], [68, 6], [56, 5], [42, 4], [37, 4], [21, 3], [13, 2], [0, 1]]
[[94, 8], [88, 7], [72, 6], [61, 6], [59, 6], [47, 6], [30, 6], [23, 3], [15, 1], [1, 0]]
